Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,2,0,1,Imports,699,India,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,7823626,,,0
HS,2018,201810,October 2018,6,1,2,Exports,699,India,,0,World,,,,,,,,,170199,"Sucrose; chemically pure, not containing added flavouring or colouring matter, in solid form",,,,,,,177517027,,60335247,,,0
HS,2018,201810,October 2018,6,1,2,Exports,699,India,,0,World,,,,,,,,,870322,"Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1000cc but not exceeding 1500cc",,,,,,,21089257,,224063935,,,0
HS,2018,201810,October 2018,6,1,2,Exports,699,India,,0,World,,,,,,,,,870332,"Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity exceeding 1500cc but not exceeding 2500cc",,,,,,,2168106,,28212157,,,0
HS,2018,201810,October 2018,6,1,2,Exports,699,India,,0,World,,,,,,,,,170191,"Sucrose; chemically pure, containing added flavouring or colouring matter, in solid form",,,,,,,1507198,,497840,,,0
HS,2018,201810,October 2018,6,1,2,Exports,699,India,,0,World,,,,,,,,,260300,Copper ores and concentrates,,,,,,,10207870,,14049160,,,0
HS,2018,201810,October 2018,6,1,2,Exports,699,India,,0,World,,,,,,,,,252310,Cement clinkers (whether or not coloured),,,,,,,301463000,,12733407,,,0
HS,2018,201810,October 2018,4,0,1,Imports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,208772,,192498,,,0
HS,2018,201810,October 2018,4,0,1,Imports,699,India,,0,World,,,,,,,,,2523,"Portland cement, aluminous cement (""ciment fondu""), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",,,,,,,104249970,,6983277,,,0
HS,2018,201810,October 2018,6,1,1,Imports,699,India,,0,World,,,,,,,,,170191,"Sucrose; chemically pure, containing added flavouring or colouring matter, in solid form",,,,,,,34,,46,,,0
HS,2018,201810,October 2018,6,1,1,Imports,699,India,,0,World,,,,,,,,,170199,"Sucrose; chemically pure, not containing added flavouring or colouring matter, in solid form",,,,,,,193526,,617417,,,0
HS,2018,201810,October 2018,6,1,1,Imports,699,India,,0,World,,,,,,,,,252310,Cement clinkers (whether or not coloured),,,,,,,2130000,,232466,,,0
HS,2018,201810,October 2018,6,1,1,Imports,699,India,,0,World,,,,,,,,,260300,Copper ores and concentrates,,,,,,,103391000,,182807836,,,0
HS,2018,201810,October 2018,4,0,1,Imports,699,India,,0,World,,,,,,,,,2704,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",,,,,,,537235000,,189837223,,,0
HS,2018,201810,October 2018,6,1,1,Imports,699,India,,0,World,,,,,,,,,870332,"Vehicles; compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity exceeding 1500cc but not exceeding 2500cc",,,,,,,817088,,10026478,,,0
HS,2018,201810,October 2018,6,1,1,Imports,699,India,,0,World,,,,,,,,,870322,"Vehicles; spark-ignition internal combustion reciprocating piston engine, cylinder capacity exceeding 1000cc but not exceeding 1500cc",,,,,,,9063,,92009,,,0
